iso2,iso3,wheat_exp_qnt,wheat_imp_qnt,wheat_prod,wheat_exp_vle,wheat_imp_vle,barley_exp_qnt,barley_imp_qnt,barley_prod,barley_exp_vle,barley_imp_vle,maize_exp_qnt,maize_imp_qnt,maize_prod,maize_exp_vle,maize_imp_vle,oil_sunflower_exp_qnt,oil_sunflower_imp_qnt,oil_sunflower_prod,oil_sunflower_exp_vle,oil_sunflower_imp_vle,oil_soybean_exp_qnt,oil_soybean_imp_qnt,oil_soybean_prod,oil_soybean_exp_vle,oil_soybean_imp_vle
AF,AFG,21,496237,5185000,7,113510,1528,5451,127757,398,902,215,2809,271776,26,294,30,98000,3066,23,100000,NA,6000,NA,NA,8000
DZ,DZA,5,7053568,3106754,2,1828931,NA,840320,1213137,NA,185766,5,5010449,3221,1,931938,2300,55240,2600,2500,44634,95100,701767,9800,110000,555907
AR,ARG,10196931,18,19776942,2029494,58,2233130,16311,4483062,457326,5236,36881996,3857,58395811,6046745,16373,399524,95,1414500,322487,162,5271404,9,8081200,3740139,42
AM,ARM,64,349761,131951,34,72254,NA,24785,89986,NA,3604,NA,71674,6467,NA,13207,6,28487,152,10,26660,NA,684,NA,NA,517
AU,AUS,10400418,482237,14480217,2698498,126810,4258209,70,10127175,908420,182,49958,3954,267552,16789,4354,1185,76641,7800,1814,84236,494,20244,3900,590,21446
AT,AUT,619174,1151670,1652740,190907,238713,86519,287548,864860,19143,57976,542819,967257,2411930,284794,232175,40629,76114,72000,50345,77494,7633,11957,26600,7261,12931
BH,BHR,0,81403,NA,0,23887,NA,2627,NA,NA,791,1,19346,NA,3,5507,0,6562,NA,0,9076,23,2211,NA,25,3443
BD,BGD,1,6014980,1029000,0,1439760,NA,21891,124,NA,4286,13,2218694,4015306,30,466226,110,8638,NA,90,11301,16000,665911,292700,13760,516509
BY,BLR,21684,17791,2848391,4174,4741,3846,151394,1375015,677,27839,36318,105042,1075833,7060,55778,6450,89241,21852,4585,80160,79878,11258,83318,61331,8036
BE,BEL,637848,3852303,1741480,185177,859193,159687,1942155,329470,35921,411919,144633,1922956,421010,40039,445149,166819,586820,36000,190410,549356,72776,136504,31700,71048,111802
BA,BIH,36508,337442,321804,8335,71505,88,20696,88742,32,3744,6663,170544,1426356,2029,37249,60865,65736,39400,57312,60568,2323,921,7100,2066,685
BW,BWA,278,131004,1028,36,51930,NA,11,NA,NA,6,1152,295364,61947,398,59537,35,25107,NA,120,31596,1,2340,NA,2,2448
BR,BRA,560878,6159926,6347987,111731,1459354,31,660540,387146,4,180508,34431936,1372309,103963620,5853003,218996,238,61537,196445,321,53454,1109809,199345,11263345,761418,170069
BG,BGR,3223233,28679,4847940,698083,9446,333032,507,566320,65436,378,2559570,27844,3014090,497072,56557,524527,41873,524500,455006,36557,1944,35519,300,1560,30260
CM,CMR,0,815783,437,0,204785,NA,1500,NA,NA,500,59,28489,2091263,9,5523,NA,432,NA,NA,621,NA,60,NA,NA,81
CA,CAN,26110509,182169,35183000,6317889,30106,2807251,124756,10740600,600761,22921,1132480,1792762,13563400,250141,455268,1758,47763,20400,2708,67039,126906,45721,360258,100466,48653
CL,CHL,4,1150371,1230988,3,282530,702,35208,193166,253,8999,31038,2788951,592988,100783,572771,42,95731,500,54,98538,NA,99346,13700,NA,99519
TW,TWN,33,1414930,4710,14,403098,1,42595,NA,4,10341,133,4423893,206476,48,889345,201,18318,NA,850,19345,11949,151,470100,10679,220
CO,COL,0,1934625,6295,1,477629,NA,336349,6152,NA,93811,1029,6162363,1479010,3322,1221505,34,39731,942,81,36595,73787,377749,145622,71762,293032
CG,COG,0,196408,NA,1,54643,NA,1503,NA,NA,646,NA,17550,13000,NA,5470,NA,393,NA,NA,478,NA,864,NA,NA,1037
CR,CRI,0,271942,NA,0,72223,NA,54,NA,NA,37,6816,954489,14181,1566,194135,456,8929,NA,577,8834,15716,13544,47000,15470,11244
HR,HRV,572162,140245,867530,114334,29501,132904,26360,325520,24007,5751,1213051,76472,2430600,226688,36067,42768,69080,19200,40878,59354,8403,9103,7700,6664,7257
CY,CYP,51,35941,32270,21,10449,NA,162960,41630,NA,33564,NA,289031,NA,NA,60761,72,7235,NA,95,7783,NA,4076,NA,NA,3750
CZ,CZE,2497600,71948,4902410,523218,18195,354391,45068,1816180,68127,10413,312907,173777,825500,57957,67000,86735,60152,90100,89021,61612,1291,16426,NA,1390,13592
CD,COD,2,358570,9000,1,96640,NA,NA,970,NA,NA,10,76976,2111786,1,17199,NA,1639,NA,NA,1489,NA,69,NA,NA,66
DK,DNK,804381,147796,4070410,174498,41597,717795,77531,4156500,155693,15815,64339,190589,38740,15060,73645,318,17945,NA,329,19756,1016,95266,NA,856,74110
DO,DOM,335,518927,NA,431,133149,NA,2,NA,NA,11,1327,1280392,50658,738,260424,2,3096,NA,3,3213,14712,180434,4700,19789,144490
EG,EGY,8,9042583,9000000,13,2693851,26,4183,104092,8,1583,9029,7880031,7500000,2620,1880862,36240,105422,13900,43590,81901,169761,35185,653400,126936,27383
SV,SLV,1642,269757,NA,508,71341,NA,12,NA,NA,12,6696,685481,886000,1773,147636,116,3569,NA,229,5320,392,20523,NA,446,18470
EE,EST,709971,10049,840520,154550,2313,291141,7373,561120,55446,1745,122,25985,0,185,6740,3894,7035,500,4150,6415,477,1102,NA,535,1076
SZ,SWZ,NA,52558,715,NA,15414,NA,0,NA,NA,0,142,185642,87000,60,37644,NA,2277,NA,NA,2525,NA,3243,NA,NA,2797
