iso2,iso3,area,dis_int,continent,dist_to_ukr
AW,ABW,193,5.225315,America,9678.449
AF,AFG,652225,303.7614,Asia,3580.626
AO,AGO,1246700,419.9666,Africa,6802.643
AI,AIA,102,3.79869,America,8711.546
AL,ALB,28748,63.77311,Europe,1303.97
AD,AND,453,8.005398,Europe,2372.859
AN,ANT,960,11.65385,America,9637.682
AE,ARE,83657,108.789,Asia,3545.552
AR,ARG,2766889,625.6475,America,12845.99
AM,ARM,29800,64.92948,Asia,1575.587
TF,ATF,7829,33.28028,No,NA
AG,ATG,442,7.907605,America,8718.199
AU,AUS,7686848,1042.817,Pacific,14956.91
AT,AUT,83858,108.9196,Europe,1052.484
AZ,AZE,86600,110.686,Asia,1873.832
BI,BDI,27834,62.75114,Africa,5987.114
BE,BEL,33114,68.44467,Europe,1837.307
BJ,BEN,112622,126.225,Africa,5545.644
BF,BFA,274200,196.9552,Africa,5147.142
BD,BGD,143998,142.7289,Asia,5891.902
BG,BGR,110994,125.3094,Europe,1022.553
BH,BHR,678,9.793742,Asia,3195.369
BS,BHS,13939,44.40681,America,9056.832
BA,BIH,51233,85.13511,Europe,1166.276
BY,BLR,207595,171.3729,Europe,433.5281
BZ,BLZ,22963,56.99649,America,10462.06
BM,BMU,53,2.738241,America,7654.312
BO,BOL,1098581,394.2302,America,12033.3
BR,BRA,8511920,1097.356,America,11155.24
BB,BRB,431,7.808587,America,8905.438
BN,BRN,5765,28.55837,Asia,9201.697
BT,BTN,46620,81.21195,Asia,5545.155
BW,BWA,600372,291.4366,Africa,8378.193
CF,CAF,622984,296.8741,Africa,5243.037
CA,CAN,9976139,1187.996,America,7564.316
CC,CCK,14,1.407336,Pacific,9487.612
CH,CHE,41288,76.42681,Europe,1730.779
CL,CHL,756945,327.2397,America,13566.19
CN,CHN,9572378,1163.707,Asia,6460.799
CI,CIV,322463,213.5865,Africa,5959.585
CM,CMR,475442,259.3478,Africa,5480.026
CG,COG,342000,219.9616,Africa,6256.173
CK,COK,240,5.826925,Pacific,16659.88
CO,COL,1141748,401.9008,America,10708.16
KM,COM,1862,16.23019,Africa,7020.656
CV,CPV,4033,23.88625,Africa,6224.206
CR,CRI,51076,85.00456,America,10830.9
CU,CUB,110861,125.2343,America,9542.158
CX,CXR,135,4.370194,Pacific,9885.776
KY,CYM,262,6.088138,America,9821.899
CY,CYP,9251,36.17663,Europe,1714.705
CZ,CZE,78864,105.6266,Europe,1141.565
DE,DEU,357325,224.8358,Europe,1646.271
DJ,DJI,23200,57.28986,Africa,4472.17
DM,DMA,751,10.30751,America,8842.24
DK,DNK,43094,78.08043,Europe,1328.55
DO,DOM,48734,83.03283,America,9142.623
DZ,DZA,2381741,580.4717,Africa,2657.681
EC,ECU,275716,197.4989,America,11369.98
EG,EGY,1001449,376.3988,Africa,2267.659
ER,ERI,121320,131.0087,Africa,3977.017
EH,ESH,266000,193.9879,Africa,4493.383
ES,ESP,505954,267.5404,Europe,2863.877
