iso2,date,sb_yield
AT,2015-01-05,-0.031
AT,2015-01-06,-0.024
AT,2015-01-07,-0.047
AT,2015-01-08,-0.04
AT,2015-01-09,-0.058
AT,2015-01-12,-0.058
AT,2015-01-13,-0.061
AT,2015-01-14,-0.076
AT,2015-01-15,-0.127
AT,2015-01-16,-0.115
AT,2015-01-19,-0.107
AT,2015-01-20,-0.115
AT,2015-01-21,-0.11
AT,2015-01-22,-0.118
AT,2015-01-23,-0.107
AT,2015-01-26,-0.084
AT,2015-01-27,-0.111
AT,2015-01-28,-0.092
AT,2015-01-29,-0.071
AT,2015-01-30,-0.101
AT,2015-02-02,-0.086
AT,2015-02-03,-0.101
AT,2015-02-04,-0.076
AT,2015-02-05,-0.109
AT,2015-02-06,-0.081
AT,2015-02-09,-0.067
AT,2015-02-10,-0.099
AT,2015-02-11,-0.091
AT,2015-02-12,-0.121
AT,2015-02-13,-0.097
AT,2015-02-16,-0.085
AT,2015-02-17,-0.075
AT,2015-02-18,-0.128
AT,2015-02-19,-0.085
AT,2015-02-20,-0.09
AT,2015-02-23,-0.022
AT,2015-02-24,-0.119
AT,2015-02-25,-0.107
AT,2015-02-26,-0.043
AT,2015-02-27,-0.119
AT,2015-03-02,-0.11
AT,2015-03-03,-0.083
AT,2015-03-04,-0.067
AT,2015-03-05,-0.038
AT,2015-03-06,-0.064
AT,2015-03-09,-0.061
AT,2015-03-10,-0.035
AT,2015-03-11,-0.145
AT,2015-03-12,-0.06
AT,2015-03-13,-0.124
AT,2015-03-16,0
AT,2015-03-17,-0.145
AT,2015-03-18,-0.027
AT,2015-03-19,-0.052
AT,2015-03-20,0.011
AT,2015-03-23,-0.145
AT,2015-03-24,-0.05
AT,2015-03-25,-0.081
AT,2015-03-26,-0.016
AT,2015-03-27,-0.048
AT,2015-03-30,-0.111
AT,2015-03-31,-0.108
AT,2015-04-01,0.03
AT,2015-04-02,-0.145
AT,2015-04-07,-0.145
AT,2015-04-08,-0.038
AT,2015-04-09,-0.073
AT,2015-04-10,-0.153
AT,2015-04-13,-0.032
AT,2015-04-14,-0.184
AT,2015-04-15,-0.105
AT,2015-04-16,-0.026
AT,2015-04-17,0.004
AT,2015-04-20,-0.208
AT,2015-04-21,-0.149
AT,2015-04-22,-0.175
AT,2015-04-23,-0.19
AT,2015-04-24,-0.136
AT,2015-04-27,-0.122
AT,2015-04-28,-0.201
AT,2015-04-29,-0.203
AT,2015-04-30,-0.161
AT,2015-05-04,-0.162
AT,2015-05-05,-0.171
AT,2015-05-06,-0.177
AT,2015-05-07,-0.158
AT,2015-05-08,-0.157
AT,2015-05-11,-0.168
AT,2015-05-12,-0.144
AT,2015-05-13,-0.14
AT,2015-05-14,-0.132
AT,2015-05-15,-0.148
AT,2015-05-18,-0.135
AT,2015-05-19,-0.164
AT,2015-05-20,-0.161
AT,2015-05-21,-0.168
AT,2015-05-22,-0.155
AT,2015-05-26,-0.157
AT,2015-05-27,-0.181
AT,2015-05-28,-0.176
AT,2015-05-29,-0.177
AT,2015-06-01,-0.179
AT,2015-06-02,-0.157
AT,2015-06-03,-0.155
AT,2015-06-04,-0.139
AT,2015-06-05,-0.151
AT,2015-06-08,-0.148
AT,2015-06-09,-0.143
AT,2015-06-10,-0.152
