iso3,cab,cpi,deflator,gbor,gdebt,gdp,gdpg,gdppc,pop,unp
AND,14.736,2.3,1.3482681889453119,-3.979,51.562,3213000,12.421273617914629,40417.265,0.079,3.1
AUS,3.557,2.55,4.712246754644256,-8.463,62.06,1610560000,18.477944227187248,62618.587,25.72,5.227
AUT,1.609,2.9,2.3048430410223197,-5.788,84.202,481209000,11.256022787174814,53793.367,8.946,6.4
BEL,-0.014,3.027,2.2166442110703066,-7.035,113.416,581848000,12.99774722286957,50412.713,11.542,6.31
CAN,0.524,3.801,8.22281406581502,-7.489,109.88,2015980000,22.623943378403276,52791.228,38.188,7.723
CYP,-9.306,2,1.7966549122357733,-5.116,111.041,26546000,11.608156401093117,29486.275,0.9,7.501
CZE,1.568,2.725,0.7097674173765833,-8.03,45.007,276914000,12.865346913987818,25806.384,10.73,3.4
DNK,6.958,1.4,2.212151126267603,-1.881,38.755,396666000,11.396436244155183,67919.585,5.84,5.4
EST,-1.812,7,3.6392363164537977,-2.93,19.961,36039000,17.67452491347221,27100.736,1.33,6.516
FIN,-0.101,2.239,1.9066434756305206,-4.591,72.224,296016000,9.815734705461177,53522.565,5.531,7.833
FRA,-1.666,2.886,0.5919476475907404,-8.931,115.825,2940430000,12.04123126821357,45028.265,65.302,8.133
DEU,6.798,4.031,2.0617608651670727,-6.841,72.498,4230170000,10.065138740182666,50787.859,83.291,3.696
GRC,-7.406,1.348,0.34438270162642226,-10.245,206.688,211645000,11.82823538114437,19827.162,10.674,15.839
HKG,6.021,2.569,0.17190838177572054,-3.668,2.132,369722000,6.676015049742623,49485.084,7.471,5.637
ISL,1.002,4.274,5.010403734853375,-8.671,75.81,25476000,17.30361911778249,68843.646,0.37,7
IRL,11.107,3.2,2.555978458922148,-5.347,57.35,516253000,21.31458421944361,102394.017,5.042,7.76
ISR,4.457,2.467,1.1995899165460955,-6.808,73.246,467532000,14.84422784517847,49840.25,9.381,5.1
ITA,3.717,1.659,1.6225480860788455,-10.243,154.753,2120230000,12.483029918803567,35584.882,59.582,10.3
JPN,3.466,0.712,0.38099352900167194,-9,256.86,5103110000,1.1498084973918354,40704.304,125.37,2.775
KOR,4.457,2.7,2.630153647342759,-2.929,51.297,1823850000,11.328740650129587,35195.522,51.821,3.842
LVA,-1.027,5,1.5669979903318643,-8.613,47.552,37199000,11.11476193320986,19538.902,1.904,7.7
LTU,6.69,3.029,2.4052631578947326,-5.233,47.428,62635000,12.16267034364198,22411.646,2.795,6.5
LUX,4.697,1.3,3.635781981045305,-1.344,26.258,83771000,14.433440338774673,131301.599,0.638,5.567
MAC,-18.496,-0.25,-0.2180915984713594,-11.869,0,29223000,20.096165700900027,42106.564,0.694,2.9
MLT,-2.393,1.607,1.28710175183806,-11.639,63.016,16695000,12.054500302033698,31996.534,0.522,3.6
NLD,7.899,1.822,1.611273452221651,-6.141,58.059,1007560000,10.341089040600826,57714.876,17.458,3.6
NZL,-3.293,3.556,3.3134297989560357,-7.383,51.966,247640000,18.270737019065454,48348.994,5.122,4.258
NOR,7.176,2.3,9.498603759429836,-5.946,42.7,445507000,22.891024544717297,82244.232,5.417,4.3
PRT,-1.68,3.133,0.8488568416928688,-4.814,130.787,251709000,10.226576047925185,24457.144,10.292,6.876
SMR,1.11,0.839,0.7005268775306162,-18.288,94.567,1728000,11.196911196911197,50934.189,0.034,6.739
SGP,15.878,1.348,1.099974846661378,-0.229,137.859,378645000,11.372400222365364,66263.418,5.714,2.7
SVK,-0.922,3.525,2.2360720810958634,-7.518,61.361,116748000,11.730196859059628,21383.286,5.46,6.8
SVN,6.381,2.161,2.202094287102896,-7.005,77.181,60890000,13.713186546398504,28939.271,2.104,4.451
ESP,0.413,2.493,1.629248666805827,-8.629,120.224,1439960000,12.456392590469513,30536.858,47.155,15.37
SWE,4.796,2,2.181999999999995,-2.625,39.635,622365000,15.026133692132548,58639.194,10.613,8.857
CHE,7.211,0.882,0.628321886377603,-2.082,42.694,810830000,7.840777148389977,93515.484,8.671,3.131
TWN,15.63,1.6,4.9800218307814115,0.273,27.224,785589000,17.575685917659968,33401.709,23.519,3.8
GBR,-3.366,3.5,-0.8550099689340174,-11.894,108.497,3108420000,14.715327799096434,46200.258,67.281,4.975
USA,-3.47,5.149,3.6041426522477327,-10.823,133.284,22939580000,9.79158839365839,69375.375,330.659,5.431
ALB,-8.644,2.085,1.529971398160801,-6.694,81.475,16770000,13.096843809009972,5837.18,2.873,12
DZA,-7.626,7.56,15.128276684646934,-9.246,58.48,163812000,10.983739837398376,3638.328,45.024,14.071
AGO,7.34,22.015,37.598909552378345,3.222,103.713,70339000,20.49301082636701,2200.675,31.962,NA
ATG,-10.285,2.029,1.5820400783486566,-3.999,105.219,1405000,2.5547445255474477,14117.844,0.1,NA
ARG,0.994,NA,47.436061125418696,NA,NA,455172000,16.99154894824502,9929.154,45.842,9.985
ARM,-2.876,7.96,6.839493571257282,-4.036,62.15,13612000,7.681354323233913,4594.912,2.962,18.5
ABW,-6.981,1.73,1.730236922355144,-16.728,117.468,2865000,14.737685222266727,25700.865,0.111,9.583
AZE,7.815,4.5,20.007192425032795,-1.834,28.88,52645000,23.559509000868406,5167.377,10.188,6.373
BHS,-20.913,5.015,5.694411925388265,-13.633,102.546,10681000,7.80177634234962,27437.197,0.389,21.549
BHR,-2.904,2.5,9.912751170871736,-7.999,123.35,39104000,12.597540960004604,26293.947,1.487,3.881
BGD,-1.071,5.642,5.2756270709113595,-5.944,39.937,355689000,10.101003847618228,2138.794,166.303,NA
BRB,-12.71,3.179,1.8499686445992536,-4.072,138.259,4648000,5.205975554549558,16105.128,0.289,18.611
BLR,0.394,9.437,11.657734337767444,-3.876,44.862,65754000,9.224099267454044,7032.477,9.35,4.328
BLZ,-8.241,4.12,3.0995070453256446,-7.678,117.892,1909000,11.899179366940205,4457.886,0.428,10.623
BEN,-4.005,3,4.034635046724455,-4.5,52.26,18067000,15.267321679213985,1446.829,12.487,NA
BTN,-8.789,8.001,4.914770739897256,-9.603,123.352,2480000,-0.9188973232121533,3296.106,0.753,NA
BOL,-2.222,2.52,-0.29977894190650334,-9.186,82.748,38547000,4.636390781508726,3266.69,11.8,7.8
BIH,-3.866,1.637,1.700785962346929,-3.251,38.927,21692000,9.616453585325168,6647.83,3.263,15.8
BWA,-4.044,6.13,3.2329804797514017,-5.032,22.77,17605000,16.868029739776947,7349.884,2.395,NA
BRA,-0.518,7.877,10.956202541875037,-6.159,90.55,1645837000,13.920986656219414,7741.153,212.609,13.792
BRN,4.564,0.71,24.135920518680898,-8.574,2.257,15686000,30.68399566774973,33979.373,0.462,6.822
BGR,0.516,3.345,2.895136336864468,-3.677,24.964,77907000,12.567729630539382,11331.872,6.875,5.2
BFA,-2.533,2.7,2.399767998260005,-5.599,48.182,19932000,14.696743008401425,926.2,21.521,NA
BDI,-15.406,5.09,5.904017722039967,-7.187,72.433,3193000,5.032894736842097,261.053,12.231,NA
CPV,-13.239,1.5,1.5068385952403673,-9.071,160.667,1886000,10.486233157586389,3346.553,0.563,8.5
KHM,-21.316,2.738,2.682026820268213,-3.754,36.961,26080000,3.5249285487456206,1647.019,15.835,NA
CMR,-2.83,2.1,3.454263924865786,-2.751,45.797,44806000,12.188892783814897,1645.807,27.224,NA
CAF,-6.882,3.273,2.56198625522166,-3.289,46.482,2587000,8.378718056137412,525.914,4.92,NA
TCD,-5.232,2.259,7.855420853891415,-1.207,44.003,12345000,13.925802879291261,729.844,16.915,NA
CHL,-2.511,5.49,8.336848535978714,-7.895,34.404,331250000,31.02155279822483,16799.367,19.718,9.052
CHN,1.644,2.044,1.9533132261345898,-7.539,68.946,16862979000,13.427542727757213,11891.202,1418.106,3.8
COL,-4.377,4.304,3.244342073985429,-8.438,66.727,300791000,10.766551035889748,5892.14,51.049,14.545
COM,-4.143,15.624,-0.941133344489864,-4.244,26.572,1281000,5.345394736842102,1390.061,0.921,NA
COD,-2.072,5.961,16.003376438628525,-1.665,11.873,54832000,12.575194530560285,593.558,92.378,NA
COG,12.122,2.719,17.696158053502153,1.499,85.44,12744000,23.380772582050536,2655.719,4.799,NA
CRI,-2.957,1.564,0.7521599510665888,-6.39,71.201,61460000,-0.6032377533032429,11860.222,5.182,16.3
CIV,-3.832,2,1.4001579665398056,-5.566,50.207,68845000,12.434877757998386,2489.102,27.659,NA
HRV,-0.097,2.899,0.6815801999048077,-4.106,87.022,63399000,12.867849958163458,15807.696,4.011,8.384
DJI,-4.695,2,1.1551947522447037,-1.736,42.289,3654000,6.220930232558142,3645.5,1.002,NA
DMA,-35.466,2.007,1.4508816896421806,-4.118,107.76,571000,4.9632352941176405,7777.016,0.073,NA
DOM,-2,6.513,5.150167402431038,-4.519,66.144,89502000,13.404204097664806,8491.619,10.54,7.429
ECU,1.709,1.822,2.867535047277747,-2.318,60.954,104483000,5.743462067848748,5884.147,17.757,4.588
EGY,-3.882,4.921,3.6358538820279396,-7.325,91.36,396328000,9.107627083648762,3851.746,102.896,9.305
SLV,-2.841,4.5,2.988415958541335,-5.05,84.235,27665000,12.281342586955635,4244.299,6.518,9.5
GNQ,-4.224,3.229,12.26345826519375,-0.814,42.703,12528000,24.830609804703087,8625.763,1.452,NA
ERI,12.442,4,5.1077940032834945,-4.422,175.106,2254000,8.157389635316692,625.974,3.601,NA
SWZ,1.419,5.157,3.1677168555312996,-7.99,46.036,4517000,13.463953780457194,3965.426,1.139,NA
ETH,-2.871,NA,18.508189568765275,-2.977,57.113,92757000,-3.989193777106126,939.511,98.729,NA
FJI,-15.657,1.4,1.0994798259310823,-15.812,86.792,4639000,3.226524254561647,5127.44,0.905,9
GAB,-3.788,2,12.29465708453057,-2.486,72.105,18293000,19.258100267292512,8569.216,2.135,NA
GMB,-12.704,6.504,4.877125198159282,-4.105,82.313,2042000,9.667024704618665,819.22,2.492,NA
GEO,-9.962,13.05,8.160609864372548,-6.491,54.246,17846000,12.302561198162486,4807.95,3.712,NA
GHA,-2.225,10.214,11.232983443350285,-14.503,83.541,75487000,10.20321761219305,2413.095,31.282,NA
GRD,-22.808,2.517,2.712552186975681,0.471,70.19,1083000,5.452775073028238,9575.343,0.113,NA
GTM,4.255,4.593,2.958424877471688,-2.267,32.059,83305000,7.347654085537947,4542.253,18.34,NA
GIN,-8.501,11.3,11.289910851038766,-2.35,47.467,16724000,8.682089940213157,1168.178,14.317,NA
GNB,-5.527,2,2.7001029906142504,-4.998,79.137,1592000,11.018131101813111,858.04,1.855,NA
GUY,-16.783,3.417,11.56417024517722,-7.204,47.027,7395000,35.16724547614696,9369.011,0.789,NA
