iso2,iso3,exp_alum,imp_alum,exp_coal1,imp_coal1,exp_coal2,imp_coal2,exp_iront,imp_iront,exp_nick1,imp_nick1,exp_nick2,imp_nick2,exp_oil1,imp_oil1,exp_oil2,imp_oil2,exp_pallad,imp_pallad,exp_potas,imp_potas,exp_urea,imp_urea,goods_exports,goods_imports
CA,CAN,3473046.01,28430.76,96.8,49021.37,3391911.16,473427.22,9144.22,3506.88,848504.5,47097.55,1505242.17,10725.19,47576876.22,8466046.97,7186087.73,8325223.19,2264.19,24287.9,4489437.76,8395.11,253766.59,270825.17,390330510.303191,419995842.808862
IN,IND,3302738.91,172664.97,1294.13,233477.77,43.47,1295829.1,7943.73,1823.45,1.92,2.05,555.98,409182.19,NA,64579747.98,26174664.56,5879955.98,2318.18,64922.71,6731.44,1259326.78,27730.78,2936682.85,281545477.86803997,376995339.958457
RU,RUS,2898201.13,23078.32,1639879.57,104708.6,10743060.86,56150.42,41849.47,113.64,1062970.26,NA,1859215.37,4044.1,72564293.96,628.44,45360052.32,1036397.23,6448949.94,16798.95,1756407.22,16760.78,1516684.72,2987.01,333374750,239640170
AU,AUS,2064201.44,1838.44,18.38,9380.44,30097269.44,13792.33,0.85,286.9,NA,NA,NA,18109.46,2293556.02,4647120.52,1545548.63,11603623.11,56.02,4372.29,99.82,141579.16,5144.07,682431.37,251420432.034136,210905112.655039
MY,MYS,1372737.93,2747432.33,852.01,23894.32,186,384321.92,106.08,223.13,2437.37,1454.56,105394.45,57768.92,4715907.1,4606851,12782210.46,13401796.5,NA,7199.31,2904.06,344252.39,517296.12,55368.77,185384579.933112,152279515.11625102
IS,ISL,1193467.48,44.81,NA,17680.75,NA,NA,0.61,0.91,NA,NA,NA,2.54,NA,0.46,32316.19,338308.17,NA,28.41,NA,3.35,NA,873.64,4645167.24592661,5315376.85774595
ZA,ZAF,1010503.71,232.95,72388.56,27890.3,3837009.56,122525.67,25.25,603.84,639.81,9.48,156685.93,187.9,79701.74,5088398.64,1829231.59,3566357.09,2968716.77,12415.76,9934.4,91661.07,21553.61,202425.55,85464002.52813879,67704680.7409036
SA,SAU,970024.56,46774.25,9.12,12512.28,NA,188.63,NA,4056.15,NA,NA,NA,191.96,NA,NA,27435.59,3787382.85,NA,53.42,761.09,15268.8,1155269.59,148.86,173864000,125919762.66666701
MZ,MOZ,970022.71,51.76,NA,4.44,NA,2779.83,NA,NA,NA,NA,NA,NA,NA,64.78,31598.19,704189.29,NA,NA,70.42,2180.28,2041.81,14991.59,3588450.2868694,5882699.89751471
NL,NLD,709679.76,1148731.15,8867.07,5539.47,255391.58,239246.82,21929.59,18976.33,62.17,230.19,532825.61,481479.88,67889.32,21979696.45,34735240.77,17866552.24,31342.29,17052.39,65172.1,120420.85,309608.92,58458.32,529999251.70607704,455830227.46638703
AE,ARE,447626.73,37803.5,58.64,11216.01,26.94,38556.66,172.46,454.76,NA,88.42,12369.43,107773.12,105123364.8,21440696.43,47548148.72,16174806.11,1002.39,NA,1627.88,6954.57,614.63,1748.82,NA,NA
KZ,KAZ,444792.77,71374.32,7587.63,41508.81,158369.62,28972.34,NA,31.57,NA,0.11,3.24,540.97,23703745.95,4371.34,645475.21,458335,NA,NA,172.64,1711.85,85.03,15528.75,47305542.23868,37019216.4488309
NZ,NZL,427791.46,51.24,NA,NA,NA,5908.88,NA,0.29,NA,NA,NA,233.34,251844.4,1545158.33,17702.08,1495107.54,1130.26,520.6,65.55,60085.04,487.85,183606.79,38651963.616061404,36788251.8688863
NO,NOR,262158.27,296222.99,NA,20765.51,NA,50839.62,NA,35.22,0.21,1926564.13,1246552.36,1633.41,22736437.51,975919.43,3748126.46,1964427.05,492798.89,10136.76,NA,NA,NA,NA,82265683.2615992,82396313.8369906
BR,BRA,247235.75,483546.84,3.72,115457.29,179.95,1700470.66,NA,6732.7,249.73,NA,127.44,65235.45,19613857.93,2761144.32,5058434.27,7951265.79,3262.86,372840.67,7055.83,2781350.65,6322.99,1851898.99,210707013.474525,178337415.11319
FR,FRA,153754.35,202819.94,483.44,63939.28,13241.3,625680.14,5686.53,10227.47,NA,80606.8,99256.22,308860.39,40688.47,12356599.67,4719879.35,16513286.13,66010.93,64804.65,4074.52,177757.97,32494.62,352309.78,504700901.79314,572442331.034148
EG,EGY,143964.57,20019.4,14250.02,109.89,NA,41728.53,NA,72.19,NA,NA,NA,5709.45,1197764.45,3806581.38,2900797.49,1643584.76,NA,83.01,71.5,29665.21,891347.31,384.93,25049007,54282937.5
IT,ITA,138566.34,955570.37,5786.87,37910.48,1322.85,617331.28,493.61,6560.91,111.07,0.3,35074.27,390788.43,234255.77,16165051.34,8295304.97,5122042.35,2053158.3,1506301.23,1875.62,97949.65,28590.3,247253.14,470213756.905179,391746848.858423
TJ,TJK,136249.43,6577.12,12.43,37.98,NA,15.52,NA,NA,NA,NA,NA,0.27,NA,2656.21,19.73,275649.72,NA,NA,NA,15.64,NA,20746.66,1270628.872,2715509.52886152
US,USA,126999.6,3604412.78,38303.25,46382.91,5906212.28,175623.48,6265.43,8826.66,72.31,NA,37997.82,1190185.02,50285962.13,81629597.57,60709450.36,36320212.2,4383232.38,3413819.7,806997.6,2503640.52,243304,1176385.4,1428798000,2350824000
ES,ESP,119340.56,463529.52,93846.1,137587.37,26597.79,142218.86,2698.81,4830.42,1.97,2.81,3898.84,180661.41,353055.24,18214889.22,9648095.41,4763337.33,12629.23,9022.24,109702.43,65816.66,37906.71,256825.85,302569527.27884,312842583.657198
SG,SGP,114250.33,466723.33,21.03,1568.53,0.57,2.3,65.57,2330.33,10932.17,10977.05,107020.48,303874.07,4.68,14376394.88,27391562.13,31234549.72,7290.19,1014.88,1726.91,1659.66,1571.48,3979.67,411633723.70431596,317990759.139693
ID,IDN,100763.98,68460.4,142571.51,229795.79,3776234.62,643060.48,0.69,562.89,764413.24,NA,NA,37019.03,1396868.37,3391684.21,706792.42,7967702.41,NA,3.21,74.25,735469.35,579800.56,6402.8,163359278.821585,135141012.26395398
PL,POL,78065.79,348800.34,10265.51,39569.57,353716.8,885443.22,349.07,3309.28,NA,0.06,7465.73,58167.33,56552.21,7909788.24,841897.18,2394788.4,5049.2,252674.72,6278.39,262838.6,270380.1,145753.02,269991000,255612000
DE,DEU,73904.99,1064244.35,14933.36,108157.69,6673.44,2065303.63,8993.23,25590.33,30168.24,0.35,57673.91,685395.25,7878.35,27495840.61,9559896.86,15134286.86,1831109.41,3331595.54,895663.99,38424.55,308872.22,78051.09,1363079412.53428,1145026969.1802099
